seconds,	voltage
1417.705852,	142.105800	
1419.115847,	142.103860	
1420.525846,	142.102440	
1421.935849,	142.100760	
1423.345849,	142.099080	
1424.755846,	142.097780	
1426.165851,	142.096230	
1427.575849,	142.094550	
1428.985846,	142.093260	
1430.395850,	142.091580	
1431.805850,	142.090030	
1433.215847,	142.088480	
1434.625841,	142.087320	
1436.035849,	142.085510	
1437.445844,	142.084090	
1438.855847,	142.082410	
1440.265851,	142.080860	
1441.675846,	142.079430	
1443.085847,	142.077880	
1444.495855,	142.076070	
1445.905847,	142.074780	
1447.315848,	142.073230	
1448.725847,	142.071810	
1450.135851,	142.070390	
1451.545852,	142.068840	
1452.955849,	142.067160	
1454.365847,	142.065870	
1455.775849,	142.064310	
1457.185845,	142.062510	
1458.595846,	142.061080	
1460.005864,	142.059660	
1461.415852,	142.057980	
1462.825854,	142.056690	
1464.235850,	142.055140	
1465.645846,	142.053460	
1467.055848,	142.051780	
1468.465846,	142.050490	
1469.875850,	142.049070	
1471.285852,	142.047640	
1472.695850,	142.046090	
1474.105845,	142.044670	
1475.515847,	142.042990	
1476.925847,	142.041570	
1478.335852,	142.040020	
1479.745848,	142.038340	
1481.155935,	142.036920	
1482.565853,	142.035500	
1483.975847,	142.033950	
1485.385850,	142.032270	
1486.795851,	142.030850	
1488.205844,	142.029170	
1489.615843,	142.028000	
1491.025844,	142.026320	
1492.435839,	142.024770	
1493.845834,	142.023350	
1495.255838,	142.021800	
1496.665843,	142.020250	
1498.075846,	142.018960	
1499.485849,	142.017150	
1500.895849,	142.015860	
1502.305847,	142.014180	
1503.715846,	142.013010	
1505.125844,	142.011330	
1506.535838,	142.009910	
1507.945839,	142.008620	
1509.355848,	142.007070	
1510.765834,	142.005260	
1512.175844,	142.003710	
1513.585839,	142.002290	
1514.995851,	142.000870	
1516.405838,	141.999570	
1517.815845,	141.997760	
1519.225845,	141.996470	
1520.635841,	141.994790	
1522.045842,	141.993110	
1523.455844,	141.991690	
1524.865850,	141.990530	
1526.275848,	141.988720	
1527.685848,	141.987170	
1529.095856,	141.985750	
1530.505850,	141.984450	
1531.915846,	141.982900	
1533.325852,	141.981740	
1534.735840,	141.980060	
1536.145841,	141.978510	
1537.555847,	141.976960	
1538.965845,	141.975410	
1540.375836,	141.974120	
1541.785847,	141.972570	
1543.195840,	141.970890	
1544.605859,	141.969460	
1546.015842,	141.968040	
1547.425845,	141.966360	
1548.835837,	141.964940	
1550.245833,	141.963520	
1551.655838,	141.961970	
1553.065832,	141.960290	
1554.475842,	141.958870	
1555.885838,	141.957580	
1557.295845,	141.956020	
1558.705841,	141.954220	
1560.115840,	141.952790	
1561.525847,	141.951500	
1562.935841,	141.950210	
1564.345839,	141.948530	
1565.755846,	141.947110	
1567.165838,	141.945690	
1568.575852,	141.944390	
1569.985846,	141.942330	
1571.395844,	141.941160	
1572.805841,	141.939610	
1574.215846,	141.938060	
1575.625856,	141.936640	
1577.035853,	141.935220	
1578.445853,	141.933670	
1579.855845,	141.932380	
1581.265850,	141.930570	
1582.675847,	141.929150	
1584.085851,	141.927850	
1585.495852,	141.926300	
1586.905849,	141.924880	
1588.315845,	141.923330	
1589.725848,	141.922040	
1591.135851,	141.920490	
1592.545848,	141.918940	
